Day_of_Week,Road_Type,Junction_Control,Light_Conditions,Weather_Conditions,Road_Surface_Conditions
Friday,Dual carriageway,Automatic traffic signal,Darkness: Street lights present and lit,Fine without high winds,Dry
Wednesday,Dual carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Thursday,One way street,Giveway or uncontrolled,Daylight: Street light present,Raining without high winds,Wet/Damp
Thursday,Single carriageway,None,Daylight: Street light present,Fine without high winds,Dry
Thursday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Friday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Tuesday,Single carriageway,None,Daylight: Street light present,Fine without high winds,Dry
Tuesday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Friday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Monday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Monday,Single carriageway,Automatic traffic signal,Daylight: Street light present,Fine without high winds,Dry
Friday,Single carriageway,None,Daylight: Street light present,Raining without high winds,Wet/Damp
Tuesday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Friday,One way street,Giveway or uncontrolled,Darkness: Street lights present and lit,Fine without high winds,Dry
Tuesday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Thursday,Single carriageway,Automatic traffic signal,Darkness: Street lights present and lit,Fine without high winds,Wet/Damp
Wednesday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Raining without high winds,Wet/Damp
Friday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Wet/Damp
Friday,Single carriageway,None,Darkness: Street lights present and lit,Fine without high winds,Dry
Friday,Single carriageway,Automatic traffic signal,Daylight: Street light present,Fine without high winds,Dry
Saturday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Raining without high winds,Wet/Damp
Friday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Saturday,Dual carriageway,Automatic traffic signal,Daylight: Street light present,Fine without high winds,Dry
Sunday,One way street,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Tuesday,Single carriageway,Automatic traffic signal,Darkness: Street lights present and lit,Fine without high winds,Dry
Sunday,Single carriageway,None,Daylight: Street light present,Fine without high winds,Dry
Monday,One way street,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Thursday,Single carriageway,None,Daylight: Street light present,Fine without high winds,Dry
Wednesday,Single carriageway,Automatic traffic signal,Daylight: Street light present,Fine without high winds,Dry
Sunday,One way street,Giveway or uncontrolled,Darkness: Street lights present and lit,Fine without high winds,Dry
Sunday,Dual carriageway,None,Daylight: Street light present,Fine without high winds,Dry
Friday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Friday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Saturday,Single carriageway,Automatic traffic signal,Daylight: Street light present,Fine without high winds,Dry
Sunday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Friday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Wednesday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Sunday,Single carriageway,None,Daylight: Street light present,Fine without high winds,Dry
Saturday,Single carriageway,None,Daylight: Street light present,Fine without high winds,Dry
Friday,Single carriageway,None,Darkness: Street lights present and lit,Raining without high winds,Wet/Damp
Saturday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Thursday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Saturday,Dual carriageway,Automatic traffic signal,Daylight: Street light present,Fine without high winds,Dry
Friday,Single carriageway,None,Darkness: Street lights present and lit,Fine without high winds,Dry
Saturday,Single carriageway,Automatic traffic signal,Daylight: Street light present,Fine without high winds,Dry
Thursday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Friday,Dual carriageway,Automatic traffic signal,Daylight: Street light present,Fine without high winds,Dry
Tuesday,Dual carriageway,None,Daylight: Street light present,Fine without high winds,Dry
Friday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Raining without high winds,Wet/Damp
Thursday,Single carriageway,Automatic traffic signal,Daylight: Street light present,Fine without high winds,Dry
Thursday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Sunday,Single carriageway,None,Daylight: Street light present,Fine without high winds,Dry
Friday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Wednesday,Single carriageway,None,Daylight: Street light present,Fine without high winds,Dry
Friday,Single carriageway,None,Daylight: Street light present,Fine without high winds,Dry
Wednesday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Wet/Damp
Friday,Roundabout,Automatic traffic signal,Daylight: Street light present,Fine without high winds,Dry
Wednesday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine with high winds,Dry
Wednesday,Single carriageway,Automatic traffic signal,Daylight: Street light present,Fine without high winds,Dry
Thursday,Dual carriageway,Giveway or uncontrolled,Darkness: Street lights present and lit,Raining without high winds,Wet/Damp
Thursday,Single carriageway,Giveway or uncontrolled,Darkness: Street lights present and lit,Fine without high winds,Dry
Saturday,Single carriageway,None,Daylight: Street light present,Fine without high winds,Dry
Sunday,Single carriageway,Automatic traffic signal,Daylight: Street light present,Fine without high winds,Dry
Tuesday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Monday,One way street,None,Daylight: Street light present,Fine without high winds,Dry
Monday,Single carriageway,Automatic traffic signal,Daylight: Street light present,Fine without high winds,Dry
Tuesday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Monday,Single carriageway,Giveway or uncontrolled,Darkness: Street lights present and lit,Fine without high winds,Dry
Friday,Dual carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Saturday,Dual carriageway,Automatic traffic signal,Darkness: Street lights present and lit,Fine without high winds,Dry
Tuesday,Single carriageway,Automatic traffic signal,Daylight: Street light present,Raining without high winds,Wet/Damp
Thursday,Single carriageway,None,Daylight: Street light present,Fine without high winds,Dry
Wednesday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Thursday,Single carriageway,Automatic traffic signal,Daylight: Street light present,Fine without high winds,Dry
Thursday,One way street,Automatic traffic signal,Daylight: Street light present,Fine without high winds,Dry
Friday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Friday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Sunday,Single carriageway,Automatic traffic signal,Daylight: Street light present,Fine without high winds,Dry
Thursday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Sunday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Thursday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Raining without high winds,Wet/Damp
Thursday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Wednesday,Single carriageway,Automatic traffic signal,Daylight: Street light present,Fine without high winds,Dry
Thursday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Wet/Damp
Friday,Roundabout,Automatic traffic signal,Daylight: Street light present,Fine without high winds,Wet/Damp
Wednesday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Thursday,Single carriageway,None,Daylight: Street light present,Fine without high winds,Dry
Friday,Single carriageway,Giveway or uncontrolled,Darkness: Street lights present and lit,Fine without high winds,Dry
Saturday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Friday,Single carriageway,Giveway or uncontrolled,Darkness: Street lights present and lit,Fine without high winds,Dry
Thursday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Sunday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Wednesday,Single carriageway,None,Daylight: Street light present,Fine without high winds,Dry
Friday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Sunday,Single carriageway,Automatic traffic signal,Daylight: Street light present,Fine without high winds,Dry
Wednesday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Thursday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Sunday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Thursday,Single carriageway,Automatic traffic signal,Darkness: Street lights present and lit,Fine without high winds,Dry
Saturday,Single carriageway,Giveway or uncontrolled,Darkness: Street lights present and lit,Fine without high winds,Dry
Monday,One way street,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Tuesday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Saturday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Thursday,Dual carriageway,Automatic traffic signal,Daylight: Street light present,Raining without high winds,Wet/Damp
Friday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Thursday,Single carriageway,Giveway or uncontrolled,Darkness: Street lights present and lit,Fine without high winds,Wet/Damp
Friday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Thursday,Single carriageway,Automatic traffic signal,Darkness: Street lights present and lit,Fine without high winds,Dry
Saturday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Saturday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Wednesday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Friday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Monday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Wednesday,Single carriageway,Automatic traffic signal,Daylight: Street light present,Fine without high winds,Dry
Tuesday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Thursday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Sunday,Dual carriageway,Automatic traffic signal,Daylight: Street light present,Fine without high winds,Dry
Thursday,Single carriageway,None,Daylight: Street light present,Fine without high winds,Dry
Monday,Dual carriageway,None,Daylight: Street light present,Fine without high winds,Dry
Monday,Single carriageway,Automatic traffic signal,Darkness: Street lights present and lit,Fine without high winds,Dry
Tuesday,Single carriageway,Giveway or uncontrolled,Darkness: Street lights present and lit,Raining without high winds,Wet/Damp
Wednesday,Single carriageway,Automatic traffic signal,Daylight: Street light present,Fine without high winds,Dry
Tuesday,Dual carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Thursday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Thursday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Wednesday,Dual carriageway,Automatic traffic signal,Daylight: Street light present,Fine without high winds,Dry
Tuesday,Single carriageway,Giveway or uncontrolled,Darkness: Street lights present and lit,Fine without high winds,Dry
Tuesday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Raining without high winds,Wet/Damp
Saturday,Single carriageway,Automatic traffic signal,Daylight: Street light present,Raining without high winds,Wet/Damp
Thursday,One way street,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Saturday,Single carriageway,None,Darkness: Street lights present and lit,Fine without high winds,Dry
Tuesday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Friday,Single carriageway,None,Daylight: Street light present,Fine without high winds,Dry
Friday,Single carriageway,None,Daylight: Street light present,Fine without high winds,Dry
Saturday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Friday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Sunday,Single carriageway,Automatic traffic signal,Daylight: Street light present,Raining without high winds,Wet/Damp
Wednesday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Monday,Single carriageway,None,Darkness: Street lights present and lit,Fine without high winds,Dry
Tuesday,Single carriageway,None,Daylight: Street light present,Raining without high winds,Wet/Damp
Wednesday,Single carriageway,None,Darkness: Street lights present and lit,Fine without high winds,Dry
Thursday,Single carriageway,Giveway or uncontrolled,Darkness: Street lighting unknown,Raining without high winds,Wet/Damp
Tuesday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Saturday,Single carriageway,None,Daylight: Street light present,Raining without high winds,Wet/Damp
Friday,Single carriageway,None,Daylight: Street light present,Fine without high winds,Dry
Sunday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Sunday,Dual carriageway,Automatic traffic signal,Darkness: Street lights present and lit,Other,Dry
Tuesday,Single carriageway,Automatic traffic signal,Daylight: Street light present,Fine without high winds,Dry
Friday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Sunday,Single carriageway,Automatic traffic signal,Daylight: Street light present,Fine without high winds,Dry
Saturday,Single carriageway,None,Daylight: Street light present,Fine without high winds,Dry
Wednesday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Thursday,Single carriageway,Automatic traffic signal,Darkness: Street lights present and lit,Fine without high winds,Dry
Sunday,Single carriageway,Automatic traffic signal,Daylight: Street light present,Fine without high winds,Dry
Friday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Thursday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Tuesday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Wednesday,One way street,None,Daylight: Street light present,Fine without high winds,Dry
Thursday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Saturday,Single carriageway,None,Daylight: Street light present,Fine without high winds,Dry
Tuesday,Roundabout,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Wednesday,Single carriageway,Giveway or uncontrolled,Darkness: Street lights present and lit,Fine without high winds,Dry
Monday,Single carriageway,Automatic traffic signal,Daylight: Street light present,Fine without high winds,Dry
Sunday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Saturday,Single carriageway,Automatic traffic signal,Darkness: Street lights present and lit,Fine without high winds,Dry
Wednesday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Wednesday,Single carriageway,None,Daylight: Street light present,Fine without high winds,Dry
Tuesday,Single carriageway,Automatic traffic signal,Daylight: Street light present,Fine without high winds,Dry
Thursday,Single carriageway,Giveway or uncontrolled,Darkness: Street lights present and lit,Fine without high winds,Dry
Friday,Single carriageway,Automatic traffic signal,Daylight: Street light present,Fine without high winds,Dry
Wednesday,Single carriageway,None,Daylight: Street light present,Fine without high winds,Dry
Tuesday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Saturday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Thursday,One way street,None,Darkness: Street lights present and lit,Fine without high winds,Dry
Friday,Single carriageway,None,Darkness: Street lights present and lit,Fine without high winds,Dry
Saturday,Single carriageway,Automatic traffic signal,Darkness: Street lights present and lit,Fine without high winds,Dry
Saturday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Wednesday,Single carriageway,Giveway or uncontrolled,Darkness: Street lights present and lit,Fine without high winds,Dry
Sunday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Raining without high winds,Wet/Damp
Wednesday,Single carriageway,Automatic traffic signal,Daylight: Street light present,Fine without high winds,Dry
Friday,Single carriageway,None,Daylight: Street light present,Fine without high winds,Dry
Friday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Raining without high winds,Wet/Damp
Sunday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Sunday,Dual carriageway,None,Daylight: Street light present,Fine without high winds,Dry
Monday,Single carriageway,Automatic traffic signal,Daylight: Street light present,Fine without high winds,Wet/Damp
Friday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Wednesday,Single carriageway,Automatic traffic signal,Darkness: Street lights present and lit,Fine without high winds,Dry
Wednesday,Single carriageway,Automatic traffic signal,Darkness: Street lights present and lit,Fine without high winds,Dry
Friday,Single carriageway,None,Daylight: Street light present,Fine without high winds,Dry
Thursday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Friday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Friday,Dual carriageway,None,Daylight: Street light present,Fine without high winds,Dry
Wednesday,Single carriageway,Automatic traffic signal,Daylight: Street light present,Fine without high winds,Dry
Tuesday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Saturday,Single carriageway,None,Daylight: Street light present,Fine without high winds,Dry
Wednesday,Single carriageway,None,Darkness: Street lights present and lit,Fine without high winds,Dry
Thursday,Single carriageway,Giveway or uncontrolled,Darkness: Street lights present and lit,Raining without high winds,Wet/Damp
Saturday,Single carriageway,Giveway or uncontrolled,Darkness: Street lights present and lit,Fine without high winds,Dry
Saturday,Single carriageway,Automatic traffic signal,Daylight: Street light present,Fine without high winds,Wet/Damp
Tuesday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Sunday,Dual carriageway,Automatic traffic signal,Daylight: Street light present,Fine without high winds,Dry
Sunday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Friday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Tuesday,Single carriageway,None,Daylight: Street light present,Fine without high winds,Dry
Saturday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Wednesday,Dual carriageway,Automatic traffic signal,Daylight: Street light present,Fine without high winds,Dry
Saturday,Single carriageway,None,Daylight: Street light present,Fine without high winds,Dry
Monday,Single carriageway,Giveway or uncontrolled,Darkness: Street lights present and lit,Fine without high winds,Dry
Tuesday,Single carriageway,Giveway or uncontrolled,Darkness: Street lights present and lit,Fine without high winds,Dry
Wednesday,Dual carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Sunday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Saturday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Monday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Wednesday,Single carriageway,Giveway or uncontrolled,Darkness: Street lights present and lit,Fine without high winds,Dry
Sunday,Single carriageway,Giveway or uncontrolled,Darkness: Street lights present and lit,Fine without high winds,Dry
Saturday,Single carriageway,Giveway or uncontrolled,Darkness: Street lights present and lit,Fine without high winds,Dry
Monday,Single carriageway,Automatic traffic signal,Darkness: Street lighting unknown,Fine without high winds,Dry
Thursday,Single carriageway,None,Daylight: Street light present,Fine without high winds,Dry
Sunday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Tuesday,Single carriageway,Automatic traffic signal,Daylight: Street light present,Fine without high winds,Dry
Friday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Friday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Saturday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Raining without high winds,Wet/Damp
Friday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Thursday,One way street,Giveway or uncontrolled,Darkness: Street lights present and lit,Fine without high winds,Dry
Friday,Single carriageway,None,Daylight: Street light present,Fine without high winds,Dry
Sunday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Wednesday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Tuesday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Tuesday,Single carriageway,None,Daylight: Street light present,Fine without high winds,Dry
Thursday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Raining without high winds,Wet/Damp
Wednesday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Thursday,Single carriageway,None,Darkness: Street lights present and lit,Raining without high winds,Wet/Damp
Thursday,Single carriageway,Giveway or uncontrolled,Darkness: Street lights present and lit,Fine without high winds,Dry
Sunday,Single carriageway,Automatic traffic signal,Daylight: Street light present,Fine without high winds,Dry
Sunday,Single carriageway,None,Daylight: Street light present,Fine without high winds,Dry
Saturday,Dual carriageway,None,Daylight: Street light present,Fine without high winds,Dry
Tuesday,Dual carriageway,Automatic traffic signal,Daylight: Street light present,Fine without high winds,Dry
Sunday,Single carriageway,Automatic traffic signal,Darkness: Street lights present and lit,Fine without high winds,Dry
Tuesday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Wednesday,Single carriageway,Automatic traffic signal,Daylight: Street light present,Fine without high winds,Dry
Tuesday,Single carriageway,None,Darkness: Street lights present and lit,Fine without high winds,Dry
Tuesday,Single carriageway,None,Daylight: Street light present,Fine without high winds,Dry
Thursday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Monday,Single carriageway,Automatic traffic signal,Darkness: Street lights present and lit,Fine without high winds,Dry
Tuesday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Friday,Single carriageway,Automatic traffic signal,Darkness: Street lights present and lit,Fine with high winds,Wet/Damp
Thursday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Friday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Tuesday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Thursday,Single carriageway,Giveway or uncontrolled,Darkness: Street lights present and lit,Raining without high winds,Wet/Damp
Monday,Single carriageway,None,Daylight: Street light present,Fine without high winds,Dry
Tuesday,Roundabout,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Thursday,Single carriageway,Giveway or uncontrolled,Darkness: Street lights present and lit,Raining without high winds,Wet/Damp
Saturday,Single carriageway,Giveway or uncontrolled,Darkness: Street lights present and lit,Fine without high winds,Dry
Sunday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Thursday,Single carriageway,Giveway or uncontrolled,Darkness: Street lights present and lit,Raining without high winds,Wet/Damp
Friday,Dual carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Monday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Sunday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Saturday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Wet/Damp
Friday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Saturday,Single carriageway,Automatic traffic signal,Daylight: Street light present,Fine without high winds,Dry
Wednesday,Single carriageway,Automatic traffic signal,Darkness: Street lights present and lit,Fine without high winds,Dry
Friday,Single carriageway,None,Daylight: Street light present,Fine without high winds,Dry
Friday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Thursday,Single carriageway,None,Daylight: Street light present,Fine without high winds,Dry
Thursday,Single carriageway,Giveway or uncontrolled,Darkness: Street lights present and lit,Raining without high winds,Wet/Damp
Monday,Single carriageway,Automatic traffic signal,Darkness: Street lights present and lit,Fine without high winds,Dry
Sunday,Single carriageway,Automatic traffic signal,Daylight: Street light present,Fine without high winds,Dry
Saturday,Single carriageway,Giveway or uncontrolled,Darkness: Street lights present and lit,Fine without high winds,Dry
Friday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Saturday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Saturday,Single carriageway,None,Daylight: Street light present,Raining without high winds,Wet/Damp
Wednesday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Tuesday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Monday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Thursday,Dual carriageway,Automatic traffic signal,Daylight: Street light present,Raining without high winds,Wet/Damp
Tuesday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Friday,Single carriageway,None,Darkness: Street lights present and lit,Fine without high winds,Dry
Sunday,Single carriageway,None,Daylight: Street light present,Fine without high winds,Dry
Sunday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Wednesday,Single carriageway,None,Darkness: Street lights present and lit,Raining without high winds,Wet/Damp
Saturday,Single carriageway,None,Daylight: Street light present,Fine without high winds,Dry
Friday,Single carriageway,None,Daylight: Street light present,Fine without high winds,Dry
Thursday,Single carriageway,Automatic traffic signal,Darkness: Street lights present and lit,Raining without high winds,Wet/Damp
Thursday,Single carriageway,None,Daylight: Street light present,Fine without high winds,Dry
Saturday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Raining without high winds,Wet/Damp
Friday,Dual carriageway,None,Daylight: Street light present,Fine without high winds,Dry
Saturday,Single carriageway,Giveway or uncontrolled,Darkness: Street lights present and lit,Fine without high winds,Dry
Monday,Dual carriageway,None,Darkness: Street lights present and lit,Raining without high winds,Wet/Damp
Saturday,Single carriageway,Automatic traffic signal,Daylight: Street light present,Fine without high winds,Dry
Thursday,Single carriageway,Automatic traffic signal,Daylight: Street light present,Fine without high winds,Dry
Thursday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Thursday,Single carriageway,None,Daylight: Street light present,Raining without high winds,Wet/Damp
Monday,Single carriageway,Giveway or uncontrolled,Darkness: Street lights present and lit,Fine without high winds,Dry
Tuesday,Single carriageway,Automatic traffic signal,Daylight: Street light present,Fine without high winds,Dry
Tuesday,Single carriageway,Giveway or uncontrolled,Darkness: Street lights present and lit,Fine without high winds,Dry
Thursday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Raining without high winds,Wet/Damp
Sunday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Thursday,Single carriageway,Giveway or uncontrolled,Darkness: Street lights present and lit,Raining without high winds,Wet/Damp
Thursday,Single carriageway,Automatic traffic signal,Darkness: Street lights present and lit,Fine without high winds,Dry
Saturday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Thursday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Thursday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry
Tuesday,Single carriageway,Automatic traffic signal,Darkness: Street lights present and lit,Fine without high winds,Dry
Tuesday,Single carriageway,Automatic traffic signal,Darkness: Street lights present and lit,Fine without high winds,Dry
Friday,Single carriageway,Giveway or uncontrolled,Daylight: Street light present,Fine with high winds,Wet/Damp
Saturday,Single carriageway,Giveway or uncontrolled,Darkness: Street lights present and lit,Fine without high winds,Dry
Sunday,Single carriageway,Automatic traffic signal,Darkness: Street lights present and lit,Fine without high winds,Dry
